Datetime,IS20-MS-01 -  Irradiation - Horizontal Pyranometer(W/m2),IS20-MS-01 -  Irradiation - Tilted Pyranometer (W/m2)
2023-08-14 15:35:00,821,1068.2
2023-08-14 15:40:00,807.2,1064
2023-08-14 15:45:00,783.6,1049.8
2023-08-14 15:50:00,775.6,1049.2
2023-08-14 15:55:00,773.2,1057
2023-08-14 16:00:00,694.4,971.4
2023-08-14 16:05:00,603.8,875.8
2023-08-14 16:10:00,713.8,1036.8
2023-08-14 16:15:00,679.4,1007
2023-08-14 16:20:00,679,1015.4
2023-08-14 16:25:00,663.2,1000.8
2023-08-14 16:30:00,651.8,989.8
2023-08-14 16:35:00,627.4,979.2
2023-08-14 16:40:00,603,962
2023-08-14 16:45:00,584.2,946.6
2023-08-14 16:50:00,336.2,515.2
2023-08-14 16:55:00,561.8,944.2
2023-08-14 17:00:00,539.8,916.2
2023-08-14 17:05:00,443,767.8
2023-08-14 17:10:00,492.6,883.6
2023-08-14 17:15:00,468.8,855.6
2023-08-14 17:20:00,461.2,843.6
2023-08-14 17:25:00,469.4,862.2
2023-08-14 17:30:00,288.2,538.2
2023-08-14 17:35:00,220.6,293.2
2023-08-14 17:40:00,357.4,760.4
2023-08-14 17:45:00,238.2,534
2023-08-14 17:50:00,289.6,672.2
2023-08-14 17:55:00,275.8,660.8
2023-08-14 18:00:00,259,650.8
2023-08-14 18:05:00,240.2,603.8
2023-08-14 18:10:00,212.4,537.4
2023-08-14 18:15:00,158,397.8
2023-08-14 18:20:00,176.6,456.2
2023-08-14 18:25:00,156,405.4
2023-08-14 18:30:00,112.8,276.6
2023-08-14 18:35:00,83.6,182.6
2023-08-14 18:40:00,77.4,175
2023-08-14 18:45:00,52.4,106.2
2023-08-14 18:50:00,39.4,67
2023-08-14 18:55:00,26,37.2
2023-08-14 19:00:00,18.2,22.2
2023-08-14 19:05:00,13,15.2
2023-08-14 19:10:00,8.8,10
2023-08-14 19:15:00,4.6,5
2023-08-14 19:20:00,1.4,2
2023-08-14 19:25:00,0,0.4
2023-08-14 19:30:00,0,0
2023-08-14 19:35:00,0,0
2023-08-14 19:40:00,0,0
2023-08-14 19:45:00,0,0
2023-08-14 19:50:00,0,0
2023-08-14 19:55:00,0,0
2023-08-14 20:00:00,0,0
2023-08-14 20:05:00,0,0
2023-08-14 20:10:00,0,0
2023-08-14 20:15:00,0,0
2023-08-14 20:20:00,0,0
2023-08-14 20:25:00,0,0
2023-08-14 20:30:00,0,0
2023-08-14 20:35:00,0,0
2023-08-14 20:40:00,0,0
2023-08-14 20:45:00,0,0
2023-08-14 20:50:00,0,0
2023-08-14 20:55:00,0,0
2023-08-14 21:00:00,0,0
2023-08-14 21:05:00,0,0
2023-08-14 21:10:00,0,0
2023-08-14 21:15:00,0,0
2023-08-14 21:20:00,0,0
2023-08-14 21:25:00,0,0
2023-08-14 21:30:00,0,0
2023-08-14 21:35:00,0,0
2023-08-14 21:40:00,0,0
2023-08-14 21:45:00,0,0
2023-08-14 21:50:00,0,0
2023-08-14 21:55:00,0,0
2023-08-14 22:00:00,0,0
2023-08-14 22:05:00,0,0
2023-08-14 22:10:00,0,0
2023-08-14 22:15:00,0,0
2023-08-14 22:20:00,0,0
2023-08-14 22:25:00,0,0
2023-08-14 22:30:00,0,0
2023-08-14 22:35:00,0,0
2023-08-14 22:40:00,0,0
2023-08-14 22:45:00,0,0
2023-08-14 22:50:00,0,0
2023-08-14 22:55:00,0,0
2023-08-14 23:00:00,0,0
2023-08-14 23:05:00,0,0
2023-08-14 23:10:00,0,0
2023-08-14 23:15:00,0,0
2023-08-14 23:20:00,0,0
2023-08-14 23:25:00,0,0
2023-08-14 23:30:00,0,0
2023-08-14 23:35:00,0,0
2023-08-14 23:40:00,0,0
2023-08-14 23:45:00,0,0
2023-08-14 23:50:00,0,0
2023-08-14 23:55:00,0,0
2023-08-15 00:00:00,0,0
2023-08-15 00:05:00,0,0
2023-08-15 00:10:00,0,0
2023-08-15 00:15:00,0,0
2023-08-15 00:20:00,0,0
2023-08-15 00:25:00,0,0
2023-08-15 00:30:00,0,0
2023-08-15 00:35:00,0,0
2023-08-15 00:40:00,0,0
2023-08-15 00:45:00,0,0
2023-08-15 00:50:00,0,0
2023-08-15 00:55:00,0,0
2023-08-15 01:00:00,0,0
2023-08-15 01:05:00,0,0
2023-08-15 01:10:00,0,0
2023-08-15 01:15:00,0,0
2023-08-15 01:20:00,0,0
2023-08-15 01:25:00,0,0
2023-08-15 01:30:00,0,0
2023-08-15 01:35:00,0,0
2023-08-15 01:40:00,0,0
2023-08-15 01:45:00,0,0
2023-08-15 01:50:00,0,0
2023-08-15 01:55:00,0,0
2023-08-15 02:00:00,0,0
2023-08-15 02:05:00,0,0
2023-08-15 02:10:00,0,0
2023-08-15 02:15:00,0,0
2023-08-15 02:20:00,0,0
2023-08-15 02:25:00,0,0
2023-08-15 02:30:00,0,0
2023-08-15 02:35:00,0,0
2023-08-15 02:40:00,0,0
2023-08-15 02:45:00,0,0
2023-08-15 02:50:00,0,0
2023-08-15 02:55:00,0,0
2023-08-15 03:00:00,0,0
2023-08-15 03:05:00,0,0
2023-08-15 03:10:00,0,0
2023-08-15 03:15:00,0,0
2023-08-15 03:20:00,0,0
2023-08-15 03:25:00,0,0
2023-08-15 03:30:00,0,0
2023-08-15 03:35:00,0,0
2023-08-15 03:40:00,0,0
2023-08-15 03:45:00,0,0
2023-08-15 03:50:00,0,0
2023-08-15 03:55:00,0,0
2023-08-15 04:00:00,0,0
2023-08-15 04:05:00,0,0
2023-08-15 04:10:00,0,0
2023-08-15 04:15:00,0,0
2023-08-15 04:20:00,0,0
2023-08-15 04:25:00,0,0
2023-08-15 04:30:00,0,0
2023-08-15 04:35:00,0,0
2023-08-15 04:40:00,0,0
2023-08-15 04:45:00,0,0
2023-08-15 04:50:00,0,0
2023-08-15 04:55:00,0,0
2023-08-15 05:00:00,0,0
2023-08-15 05:05:00,0,0
2023-08-15 05:10:00,0,0
2023-08-15 05:15:00,0,0
2023-08-15 05:20:00,0,0
2023-08-15 05:25:00,0,0
2023-08-15 05:30:00,0,0
2023-08-15 05:35:00,0,0
2023-08-15 05:40:00,0,0
2023-08-15 05:45:00,0,0
2023-08-15 05:50:00,0,0
2023-08-15 05:55:00,0,0
2023-08-15 06:00:00,0,0
2023-08-15 06:05:00,0,0
2023-08-15 06:10:00,0.4,0.4
2023-08-15 06:15:00,2,2
2023-08-15 06:20:00,4,3.8
2023-08-15 06:25:00,6.2,5.4
2023-08-15 06:30:00,10.2,9.2
2023-08-15 06:35:00,12.8,12.4
2023-08-15 06:40:00,19.8,20.6
2023-08-15 06:45:00,29.2,32.2
2023-08-15 06:50:00,45.2,54.6
2023-08-15 06:55:00,71.6,95.2
2023-08-15 07:00:00,81,113.6
2023-08-15 07:05:00,98.2,140.2
2023-08-15 07:10:00,137.6,211.6
2023-08-15 07:15:00,118.2,164.8
2023-08-15 07:20:00,96,107.6
2023-08-15 07:25:00,110.6,125
2023-08-15 07:30:00,123.4,140.8
2023-08-15 07:35:00,136.6,155
2023-08-15 07:40:00,154.4,178
2023-08-15 07:45:00,179.6,218
2023-08-15 07:50:00,216,292.6
2023-08-15 07:55:00,197.2,251.8
2023-08-15 08:00:00,185.2,227.6
2023-08-15 08:05:00,192,235
2023-08-15 08:10:00,201.6,250.6
2023-08-15 08:15:00,203.4,266.6
2023-08-15 08:20:00,234,341.2
2023-08-15 08:25:00,305.8,466.6
2023-08-15 08:30:00,309,430.2
2023-08-15 08:35:00,434.2,641.2
2023-08-15 08:40:00,583,917.6
2023-08-15 08:45:00,587.2,920
2023-08-15 08:50:00,641,983.8
2023-08-15 08:55:00,559.2,797.8
2023-08-15 09:00:00,594.8,836.4
2023-08-15 09:05:00,602.6,845.2
2023-08-15 09:10:00,520.8,692.8
2023-08-15 09:15:00,639.8,880
2023-08-15 09:20:00,656.6,919.6
2023-08-15 09:25:00,631.4,883
2023-08-15 09:30:00,609.6,840
2023-08-15 09:35:00,611.4,833.2
2023-08-15 09:40:00,651.2,879.2
2023-08-15 09:45:00,686.8,918.6
2023-08-15 09:50:00,729.8,969.2
